entity_id,alias,canonical
csqjgqjypeinhbj,Media 24 Holdings: Welkom Yizani Investments,Media 24 Holdings: Welkom Yizani Investments
9gf7ibqy8onk98a,National Empowerment Asonge MTN Group Ltd,MTN Group Ltd.
in8uudhkpoili41,National Empowerment MTN Group Ltd,MTN Group Ltd.
od5emhgeh0moudy,Nedgroup Investment Global Fund,Nedgroup Investment Global Fund
mwd5r61wtqrwnqo,Upstream Global,Upstream Global
e1e86izg7wcpjzn,Robben Island Museum,Robben Island Museum
ch3bxqs0zmq534g,MultiChoice,Multi-Choice
lq2s6laiyhaq4ix,Nedbank,NEDBANK
c3t4ygeyddxzivd,Apple,Apple
g1cymodqw8k1ged,Richemont CFR,Richemont CFR
hv8pengrvtc93q3,Goldfields,GOLD FIELDS
b95z9bzotcu7qso,Welkom Yizani,WELKOM YIZANI INVESTMENTS (RF)
fw3li5ma0582doz,Silverseed,Silver Seed
ce8hb8nsbp34wpz,Alas (Pty)td,Alas (Pty)td
ldn2uz3vv1gwf3t,Afrisam,AFRISAM
jprcxjjvbuqccfu,Eden in Africa Farm (Pty) Ltd,Eden in Africa Farm (Pty) Ltd
mz1dn0xu3clio0h,Desert Winds Property 84 [Not active],Desert Winds Property 84
fxapw7ytirgmk6q,Illovo Sugar,ILLOVO SUGAR
mpxj44cx5buzl78,Melhold,Melhold
o5dq0k7qhpejbqa,Strat Equity [Dormant],StratEquity
db4b2rwuymnd8vy,Orthopeadic Solutions,Orthopeadic Solutions
np3o8b86lxguaen,Citi Connect,Citi Connect
ievfaa6qjazwvvr,Amalgum,Amalgum
l71e3baglihihfy,Fullswing Trading 405 [Not active],Full Swing Trading 405
hf8sbr27tx3g32l,Mmamolowane Accommodation Holding (Pty) Ltd,Mmamolowane Accommodation Holding (Pty) Ltd
cwicnqvxp11ikiv,Mittal,Mittal
e0vmvk4prgyp5sv,Ampy Investments 9,Ampy Investments 9
gt6ttmww0vc6w80,Southern Storm Properties 72 [Not active],Southern Storm Properties 72
j9hmhmcdhid9hti,Telfree,TELFREE HOLDINGS
o8s4fycy5x7qxwq,Multichoice Investments Ltd,Multichoice Investments Ltd
gz9l5s5tqv2065d,Coronation Capital Plus Fund,Coronation Capital Plus Fund
jm01gcgiidkl9y8,Phuthuma,PHUTHUMA AGRICULTURAL
mxigljj9bugy38a,Sasol/Inzalo,SASOL INZALO INVESTMENTS
bkasvyk8n90gds8,Phutuma Nathi Multichoice Investments Ltd,Phutuma Nathi Multichoice Investments Ltd
dcy8aajp08jmim3,Allan Gray Orbis Global,Allan Gray Orbis Global
ovtbdls8e8qb4ye,Media 24 Phutuma,Media 24 - Phutuma
cfbk9ipre7okz77,Media 24 - Phutuma,Media 24 - Phutuma
fxxrxmh778obno7,AfriSam,AFRISAM
eo0n4vvubno8vrg,Isibonelo Poultry Farm [Dormant],Isibonelo Poultry Farm
b8gmzo3zkmpamfn,Altrisk,ALTRISK
jl91h4vdy9y8l4d,Exxaro,Exxaro
bjw9g66uncnuls7,MTN,MTN Group Ltd.
evm49qxwx2jt9yw,Sovereign Food Investments,SOVEREIGN FOOD INVESTMENTS
h8ao247p4pchyzf,Exxaso Resources Ltd,Exxaso Resources Ltd
hsv6tqbh5wg5tk6,Kairos,Kairos
jfg2rn25wz6bw1c,Sekhukane Women in Mining [Dormant],Sekhukhune Women in Mining
bqw3r9i4pzvi7jd,Elpsis B Trading [Dormant],Elpsis B Trading
ee6oy67cgqjsc2i,Sekhukhune W. Mining,Sekhukhune W. Mining
kb5xd5r3dhple0d,Allan Gray Stable and Balanced Funds,Allan Gray Stable Fund
o6x51xdr4src9tt,B P Sonjica,B P Sonjica
bc03wujb11zlk22,Sanlam; Old Mutual; Momentum,Sanlam; Old Mutual; Momentum
ihdsb67k9g6lrqm,Moramodi Trading,Moramodi Trading
huuj67afsybsi9f,Glenrand MIB Ltd,Glenrand MIB Ltd
oqtvbo814vmxrey,Vodacom,VODACOM
ksmnavad6vhjwke,Cedric Thomas Frolick,Cedric Thomas Frolick
peksaooe7jkceb8,Multichoice,Multi-Choice
pbzbyhqpf7uhuvu,Isibonelo Poultry [Dormant],Isibonelo Poultry
idnruoxyene70mt,Cassel Charlie Mathale,Cassel Charlie Mathale
gg2qnyecbngh6ar,Multichoice-Thuthuka,Multi Choice - Thuthuka
dcnhv5e0jtg5t4q,Hibbard Publishers,HIBBARD PUBLISHERS
musi8uoq9n1tyme,Chun-Chiao Huang,Chun-Chiao Huang
fczs7s67v07jn4l,Sappi,SAPPI
lmpcvfhcasyebzo,Naspers,NASPERS
oj8so5f1372qshx,Reinet,Reinet
n927z6tjqjj0ub4,Money Mine 47 Nkgape Mining [Dormant],Money Mine 47 Nkgape Mining
kot8xdo65z1spw3,Arthurs Hotel,ARTHUR'S HOTEL
lmtehxvj3yz6kno,Arthur Hotel,Arthur Hotel
igj7emoyfqlv22f,Debmar Trust ITG 2846/97,Debmar Trust
hfuy07i8v39ly4d,Debmar Trust,Debmar Trust
nayse0misnrz1c7,Anglo Gold,Anglo Gold
m4ulgg7tf9ckpn1,British American Tobacco,BRITISH AMERICAN TOBACCO P L C (INCORPORATED IN ENGLAND AND WALES)
haqa5pcsopgggpr,Mantsokodi W Mashifane [Dormant],Mantsokodi W Mashifane
iarkwd725f6kizw,Conquad (Pty) Ltd,Conquad (Pty) Ltd
jd13vfdng8htskc,Batau Rest,Batau Rest
ijsp59g6jy95fry,Soufood,Soufood
eifvmdnfpg7my7h,Cornelius Petrus Mulder,Cornelius Petrus Mulder
olfqgf45k9mb3z7,Gold Fields,GOLD FIELDS
cbhmk3obuys8gs1,Sekhukhune in Mining [Dormant],Sekhukhune in Mining
n31rt4cm5z9dqiu,BOE Stockbrokers (Pty) Ltd,BOE Stockbrokers (Pty) Ltd
l1xhbmolo472xch,Delsmar Trust ITG 2846/97,Delsmar Trust ITG 2846/97
j15z7yf1tofv2xa,Multi Choice - Thuthuka,Multi Choice - Thuthuka
iava0hsghcr1zet,Puthuma Nathi,Puthuma Nathi
hg84n2j7shgtuli,Anglo Gold Ashanti,Anglo Gold Ashanti
dl47stxgnbf6npb,Anglogold,Anglo Gold
hjmtc79codrfmce,Richemont,Richemont
b982kp4of1sbiqe,Moramadi B [Dormant],Moramadi B
mz6qt2eibzfdoqi,Darryl Arthur Worth,Darryl Arthur Worth
cg777ntxhb1vl1h,Umkhono Trading,UMKHONO TRADING ENTERPRISE
e8k6hbafwi9xc2z,Anglo American PLC,Anglo American PLC
gxbssxxob691w66,Shampula Earth Moving [Dormant],Shampula Earth Moving
dbbuehevr6103e9,Bard Publishers,Bard Publishers
hfdh4npsdtun3kt,Sacoil,SACOIL HOLDINGS
3l0jlmp4zsk7vpd,Labat,LABAT
fbpohw85p6n8zf1,Charel Jacobus De Beer,Charel Jacobus De Beer
j6jpfcsp500ifwg,Hibrard Publishers,Hibrard Publishers
5bbm9oq9pct8kzg,D.R.D Gold,D.R.D Gold
jlbyofv82432elo,Naspers-N,Naspers-N
jks96l5la8ahhax,Arcellor Mittal,Arcelor Mittal SA Ltd.
i8ta7ebg9u90q1n,Naspers N,Naspers-N
n562cd7gmij0rsh,Sibanye,Sibanye
m5j6fjgci99nfwk,Satrix Divi,Satrix Divi
lw01m7eozrbss37,Dalitha B Enterprise [Dormant],Dalitha B Enterprise
bbjy3j676r3mwk1,Swakanang B.E. [Dormant],Swakanang B.E.
e1onnd7iluc0mm2,Anglogold Ashanti,Anglo Gold Ashanti
nprotn5kdww3r2r,Anglos,Anglos
m4iu2m9lumy10j7,Sovereign Food,Sovereign Food
jgmrn5uon6d3fpn,Archelor Mittal,Archelor Mittal
lu6m1jt1lxnjg5z,Sirius Peka Bk,Sirius Peka Bk
dgtq5mlhqnr2eq2,Metorex Ltd,METOREX
f54uk3vw23lhwre,Old Mutual PLC,Old Mutual PLC
mrzpyhv8xv1ftar,Umgogodla Comm. Service,Umgogodla Comm. Service
ihzsz1glk74buqm,Reinet Investments,Reinet Investments S.C.A.
dha00q2hq6n4uqg,Momentum Life,Momentum Life
h15qf3oahkax83e,Nedbank Private Wealth,Nedbank Private Wealth
cphgfchbon5dquv,Khulisa,Khulisa
mu1667b52n55sar,Tinashe Clinic [Dormant],Tinashe Clinic
e1rngx1t725c6ko,Bay Point Trading [Dormant],Bay Point Trading
np0zzre595lia0x,Bamba Logistics [Resigned],BAMBA LOGISTICS
cpp9lw7qzlk3mz3,Emalangeni,Emalangeni
cre5qgpzldgavb3,Izicebi Investment Holdings (Pty) Ltd,Izicebi Investment Holdings (Pty) Ltd
jpxfmf3r38gcu53,SOS Western Cape,SOS Western Cape (Pty) Ltd
fquhxtjfccxzt77,Oceon Side Trading [Resigned],Oceon Side Trading
fuykrsgo2c580a8,Rea Time Inv. [Resigned],Rea Time Inv.
hb1u2cllc7f1vif,Bostz Trading [Dormant],Bostz Trading
inn8xv2j15gjbge,Central Route Trading [Dormant],CENTRAL ROUTE TRADING
i9mxzf70i4vr84c,Kusile Investment [Dormant],Kusile Investment
n477ilsh63uyueh,Shampula Earth Moving,Shampula Earth Moving
heivwmxvi4hmn39,Dabula Construction,Dabula Construction
nwyio3s7h9tu6y2,Expan Trade Thirty Six,Expan Trade Thirty Six
czvfcnb6koiajmz,Club Santorini 16CC,Club Santorini 16 [CC]
fcu32fujzv7jbli,SOS Western Cape (Pty) Ltd,SOS Western Cape (Pty) Ltd
b8gbswo1xiak4ea,Mtholiseni Trading [Resigned],Mtholiseni Trading
haz71ozcjpqgw9u,Kaito Construction [Dormant],Kaito Construction
1l7ao3326jtq7bq,Ocean Side Trading,Oceanside Trading 88 CC
ggpdyucjygkdaty,Hissa Hissa Trading,Hissa Hissa Trading
ikpwu8wmyb7knl7,Ebrahim Patel,Ebrahim Patel
ovey4yrmfov737u,MTN Group,MTN Group Ltd.
beagbd59dkmjhte,Dikeledi Rebecca Tsotetsi,Dikeledi Rebecca Tsotetsi
lg471c393ep35p7,Anglo American,Anglo American
gxr94m2yrmtm6lk,Dianne Kohler,Dianne Kohler
kg76c58xqrspo7y,Izibuko LeAfrika,Izibuko LeAfrika
jlje259r4e0migm,Stanlib,STANLIB
ba5d4vtterip2qm,Papi &amp; Bridget Training,Papi & Bridget Training
no3fylydnzvv6iz,EMP Holding [Defunct],EMP Holding
iybcztlsnq54m0d,Rea Time Inv.,Rea Time Inv.
lbrgd987o6bw16g,RZT Selpy [Dormant],RZT Selpy
gjfvznab1jrv366,Mtholiseni Trading,Mtholiseni Trading
l6ziym5fs9k28to,Kaito Construction,Kaito Construction
mogxo4qryfofz33,Allan Gray,ALLAN GRAY
ltcdwxgsbnsgqpa,Board Syndicate Two,Board Syndicate Two
hy407f4r6dzorx1,Dina Deliwe Pule,Dina Deliwe Pule
gyxpww80kf797t9,Silverlake/Umgababa [Dormant],Silverlake/Umgababa
kokv3s4ne7kq8dr,Trevwest CC,Trevwest CC
ifouoy26strzsj9,Silverlake/Umgababa,Silverlake/Umgababa
gtcjgs74poimpzy,Trevwest,Trevwest
l6ktqe8rm56faib,Central Route Trading,CENTRAL ROUTE TRADING
iuvifimfywh0f4r,Bamba Logistics,BAMBA LOGISTICS
bm2mwcxxv1xo6ye,Dirk Jan Stubbe,Dirk Jan Stubbe
nbmgjbfr8vvnxis,Post Office,Post Office
hb0mij0ikvwwo7l,RMBI Offshore,RMBI Offshore
i4zbkmde74ja7ra,Badamile,Badamile
fvfpvi6m5z852ce,NECS Investment Account,NECS Investment Account
d2fzws4nd85jdw7,Kusile Investments,Kusile Investments
bfh7outxv4m5xld,Emvuza Trading (Pty) Ltd,Emvuza Trading (Pty) Ltd
ixthwixyvlwhry3,Altimate Development CC,Altimate Development CC
o9ctsd1flhqz481,G Oliphant Family Trust,G Oliphant Family Trust
d8c7olipdq8sp3q,Letsema Mining (Pty) Ltd,Letsema Mining (Pty) Ltd
dwdub7xjbfsjidg,Gaolatlhe oliphant Family Trust,Gaolatlhe Oliphant Family Trust
lxdi46fi0b1drnu,MTN Asonge,Asonge (MTN)
osvg5ahgbj1bj0t,MTN Group - Phuthuma Nathi,MTN Group Ltd.
g86tc1ukao2ocop,Rea Time. Inv.,Rea Time Inv.
f7nyu41cleagjgj,Sondeleni Trons [Resigned],Sondeleni Trons
helui8aol6ma4hc,Fountain Square Trading [Dormant],Fountain Square Trading
iyvcsyensbxna1n,RZT Selpy,RZT Selpy
kdc5ea6xek5byo1,Bay Point Trading,Bay Point Trading
hlkxntyl3fyjj0l,Fountain Square Trading,Fountain Square Trading
fyptnltuvc0s91w,Enter.,Enter.
ktrbq0jb24z2vtv,Multi Choice,Multi-Choice
csxz27n4kizgby4,Elliot Mshiyeni Sogoni,Elliot Mshiyeni Sogoni
b7yt3nlii28p2dm,Holdings Property Ltd,Holdings Property Ltd
huvw1rrk0ac50l8,Tinkhosatena,Tinkhosatena
jha7tj88uztt0nj,Nyakazisa Earth Moving [Resigned],Nyakazisa Earth Moving
h33lrku59ju0y9g,Ditabo Med. Suppliers [Resigned],Ditabo Med. Suppliers
hvim2loe38g1yem,Umkhano Trading [Resigned],Umkhano Trading
bahm6xqoy0lt50r,Expan Trade Thirty Six [Dormant],Expan Trade Thirty Six
nxqvusfiqoz5ry8,Nyakazisa Earth Moving,Nyakazisa Earth Moving
cdzvsk4d6n05iam,Tinashe Clinic,Tinashe Clinic
ejnu4doj663fm6n,Fezile Bhengu,Fezile Bhengu
jf7glti234h12rt,Fikile Mbalula Foundation,FIKILE MBALULA FOUNDATION
kf7queobyndwgce,Fikile Mbalula Family Trust,Fikile Mbalula Family Trust
o65rxxrigyg6bgr,Nedbank Eyethu,Eyethu [Nedbank]
frfv31q0gdnx0nm,Hissa Hissa Trading [Dormant],Hissa Hissa Trading
hsa0h28gj6ayy2r,Dennis Dumisani Gamede,Dennis Dumisani Gamede
fqwurocm8n0o5fn,Subway Trading [Dormant],Subway Trading
d2yurk7piha34z2,Sondelani Trans.,Sondelani Trans.
i7amqhvm9qv0v3q,Ditabo Med. Supplies,Ditabo Med. Suppliers
lkymje6ko9x0bzj,Bostz Trading,Bostz Trading
5eogbnd63uildrp,E Godongwana,E Godongwana
ba7efo23d77dta6,Standard Bank of SA Ltd,STANDARD BANK GROUP
g2n4pbuvokszm9j,ABSA Bank,ABSA BANK
jr5upx1f0buf8rh,Isqithi properties (Pty) Ltd,Isqithi Properties (Pty) Ltd
l5nbe09rj6avy97,Vodacom [Yebo Yethu],Vodacom - Yebo Yethu
kuyr8twqq6peugh,Multi-Choice,Multi-Choice
hd82tcb6fdnf54g,Nedbank Group Value Fund,Nedbank Group Value Fund
hkdb394tcfai3j2,Letsema Placement Team International (Pty) Ltd,Letsema Placement Team International (Pty) Ltd
h6sqm1pb8nvkj77,Vodacom - Yebo Yethu,Vodacom - Yebo Yethu
l9tj3x35z7h86uf,Media 24 - Welkom Yizani,Media 24 - Welkom Yizani
jfx3auhbii6uojz,Media 24,Media 24
hkmt83nk5kabxwo,Bikani and Soldo,BIKANI AND SOLDO
grasvvfoqa920vp,Ernst Hendrik Eloff,Ernst Hendrik Eloff
fb87x3ufc4s6l9w,Phuthumanathi,Phuthuma Nathi
icwcrcueivrzwoy,Easy Go Trading,Easy Go Trading
dfxkftn937gkjin,Letsema Diamonds (Pty) Ltd,Letsema Diamonds (Pty) Ltd
kk3ggsu8o752v7x,Gauta George Mokgoro,Gauta George Mokgoro
uh42ibfjnymceaz,Majestic Trading 40,Majestic Trading 40
bl4yugmnr99u6gs,Sasol Shares,Sasol Shares
mokxn8wrqcbycbo,Sasol - Inzalo,SASOL INZALO INVESTMENTS
ghqzoc1q6t6dfke,Tinkhosatane,Tinkhosatane
mg7jpfn9c0gilxf,Rebangweiny Holdings (Pty) Ltd,Rebangweiny Holdings (Pty) Ltd
d85hv2l9jkhdus5,Rebangwe Inv. Holdings Ltd,Rebangwe Inv. Holdings Ltd
mko5k418gwx38io,PNG-Pinnacle Point Group Ltd,PNG-Pinnacle Point Group Ltd
eqcq3i4rxj05ykm,MTN [Asonge],Asonge (MTN)
bm1uf6fbrut0lxy,Macro-Trade,Macro-Trade
9jqrd8xrec4g5c9,Mandela,Mandela
l8hr5z5q723civx,Paradise,Paradise
hrkp5fmerhru98o,Sanlam Collective Investments,Sanlam Collective Investments
o323tl5sx23xj3q,Mejestic Trading 40,Majestic Trading 40
jr1s5f4swpzo7uo,Ashonge NEF.,Asonge NEF
o6e6ib1wayuy9yn,Sasol [Inzalo],SASOL INZALO INVESTMENTS
byslksvjl2hn30w,Nedgroup Value fund,Nedgroup Value fund
hkqngll81ec9xpn,Xongile Creative Tropical Paradise,Xongile Creative Tropical Paradise
ii2yuln7lfsx1tg,Miner &amp; Diggers Investment Solution,Miner & Diggers Investment Solution
m8cvv822h0iniv5,Coronation Unit Trusts,Coronation Unit Trusts
ghm8cpjcgqbrmnx,Geordin Gwyn Hill-Lewis,Geordin Gwyn Hill-Lewis
b2v1cj5wy4mpgqj,Trust to purchase a property,Trust to purchase a property
earv4jw2gwelw5h,LIL,LIL
bthwxcukqle0zjf,Oude Post,Oude Post
dkvvacw5n03idmn,MultiChoice - Phuthuma Nathi,Phuthuma Nathi Multi-Choice
i1ud30xfu3vnemp,Phuthu8ma Nathi,Phuthuma Nathi
gvarjsxurbkc0v1,RMBI,RMBI
e55m0hb0d0mw5h6,Stanbic Balanced Fund,Stanbic Balanced Fund
hfgj6tiumbwo1a4,Triponza Trading 448 CC [Private],Triponza Trading 448 CC
lylp644hrjnwkn2,Durban Roodepoort Deep options,Durban Roodepoort Deep Options
cs53j07v7iw41pr,Shoprite,SHOPRITE HOLDINGS
ipu40142ucu1yyp,RMB,RMB
ls0dyx2mo0ykj15,Lazaron Biotechnoly (SA) Ltd,LAZARON BIOTECHNOLOGIES (SA)
h9zmj6l9yow2kz4,Vinguard Ltd,VINGUARD
itulhnmu8ijn6a8,Gerhardus Willem Koornhof,Gerhardus Willem Koornhof
go35n1lwka7w0se,PNG Pinacle Point,PNG Pinacle Point
hcsszk6mcllpr85,Multi Choice Phutumanathi,Multi Choice Phutumanathi
efqbxgodmb5o0ch,Stanbic Property U T,Stanbic Property U T
bwvfko95jythwa4,UG2,UG2 PLATINUM
er3y1o9o69j4yki,SISA,SISA
e3ra6mtzvlid17k,Urone,Urone
ohxahmg7t4izql5,PNG-Pinnacle Point,PNG Pinacle Point
nthhh7iraf2j7zt,Lazaron Biotechnology,LAZARON BIOTECHNOLOGIES (SA)
mjacd6zfs0log65,Blue Financial Services,Blue Financial Services
mvj1dk7o5w0z0kr,Douglas Trust,Douglas Trust
nnd5m6pwoac8jh8,Testamentary Trust,Testamentary Trust
i0iroihy1votc6l,Kamonande Chalet No 52 CC,Kamonande Chalet No 52 CC
jcyatm22xy2cmly,Kamonande Chalet no 52 CC,Kamonande Chalet No 52 CC
m5yq8zkyws71ey0,Profurn,PROFURN
lm1w5er9lut7a58,Marriot Props,Marriot Props
ik11lbyhg0miv12,UG 2,UG2 PLATINUM
bvbsecbgqb27l7k,Lazaron Biotechnologies (SA) Ltd,LAZARON BIOTECHNOLOGIES (SA)
mawgb7wskgadn0q,Mandela Coins,Mandela Coins
emg456ve0axk3rq,Sediba Trust,Sediba Trust
jisysoto7nl929n,Oude Poot,Oude Poot
l98nl9tkzk3xyyo,Durban Roodepoort Deep Options,Durban Roodepoort Deep Options
kvbs5poxtfmnfo7,Grace Naledi Mandisa Pandor,Grace Naledi Mandisa Pandor
bwe6esr7ds6p4hj,Graham McIntosh Testamentary Trust,Graham McIntosch Testamentary Trust
lpsai776unm8gsw,Personal Trust,Personal Trust
b4rxyy9boxvqst6,Yeboyethu,Yebo Yethu Limited
dc83gtxf2epa9cr,Kamonande Chalet Mo52 CC,Kamonande Chalet Mo52 CC
hhyl52hhnxpv2px,Stanbic Pension Preservation,Stanbic Pension Preservation
mypf0kbsmubb2xz,Capital and Counties Properties PLC,CAPITAL AND COUNTIES PROPERTIES PLC (INCORPORATED IN UNITED KINGDOM)
j1krkq8ay8fqp87,Gloria Mary Borman,Gloria Mary Borman
fet3xxgc49cymps,Tradehold,Tradehold
i8bs64zemqfnwzk,Graham McIntosch Testamentary Trust,Graham McIntosch Testamentary Trust
co9py6sltoncu2n,Group,Group
o0l6hfggl5e7kt5,Fusion Atlantic Enhanced Income-C,Fusion Atlantic Enhanced Income-C
lu7xp5kyu2slntc,Fusion Nedgroup Rainmaker- B,Fusion Nedgroup Rainmaker - B
ob4845pf3bb2hx3,Mpedi Morokonyane Construction,Mpedi Morokonyane Construction
o6uqaixt9xdohxv,"Sasol, Inzalo",SASOL INZALO INVESTMENTS
lexzk7esowp0bjl,SASFIN,SAS FIN
11aj46rixo9d0rb,Fusion Investec Value B3,Fusion Investec Value - B3
j3fp0q1tkel24ni,ISCOR,ISCOR
mvrptuf4j0rk4st,Hartebeesfontein,Hartebeesfontein
nrg22k9lykeduhe,Centrecity Property Fund,Centrecity Property Fund
ld70t2rkbjdrtqa,Pepkor,PEPKOR
ms7pc3qq7ovtdr1,Pepgro,PEPGRO
bt9hpdvl8rd62sx,Fusion Nedgroup Flec Income-B,Fusion Nedgroup Flexi Income-B
e1oc4ueip0k4bn8,Managed-B3,Managed-B3
gahlymd0v5v0jem,Graham Peter Dalziel Mac Kenzie,Graham Peter Dalziel Mac Kenzie
lpw86b9gkp9pi3n,Temeraire Investments CC,Temeraire Investments CC
cxj1ao9r3mtnoi9,Avgold,AVGOLD
j306utop2x3zd0w,Libvest,Libvest
n8bag10jji2u1f6,Stanbic,Stanbic
